Species;Species2;References;Webpage;;;;;;;;;;;;;;;
Andira micrantha;Andira micrantha;"Demarchi, L. O. (2014). Composição, conhecimento e uso de plantas de campinarana por moradores da Reserva de Desenvolvimento Sustentável do Tupé – Amazônia Central (Dissertação de Mestrado, Instituto Nacional de Pesquisas da Amazônia - INPA, Programa de Ecologia). Orientadora: Piedade, M. T. F.; Coorientadora: Scudeller, V. V. Instituto Nacional de Pesquisas da Amazônia - INPA.";https://repositorio.inpa.gov.br/handle/1/11923;.;;;;;;;;;;;;;;
Andira parviflora;Andira parviflora;Costa, G., Sampaio, P. de T. B., Ribeiro, R. A. de S., Soares, J. J., & Mendonça, R. M. (2022). Formulação de massa cerâmica para revestimento poroso utilizando resíduos de madeiras tropicais. Ciência Florestal, 32(4), 2348–2371. https://doi.org/10.5902/1980509870383;https://doi.org/10.5902/1980509870383;.;;;;;;;;;;;;;;
Andira parviflora;Andira parviflora;Garcia, M.G., Nascimento, C.C., Ferreira, A.G. et al. Identification of Isoflavonoids in Wood Residue from Swartzia laevicarpa, Dipteryx odorata, and Andira parviflora. Chem Nat Compd 54, 856–859 (2018). https://doi.org/10.1007/s10600-018-2498-5;https://doi.org/10.1007/s10600-018-2498-5;.;;;;;;;;;;;;;;
Aniba canelilla;Aniba canelilla;de Lima, A. B., Santana, M. B., Cardoso, A. S., da Silva, J. K., Maia, J. G., Carvalho, J. C., & Sousa, P. J. (2009). Antinociceptive activity of 1-nitro-2-phenylethane, the main component of Aniba canelilla essential oil. Phytomedicine : international journal of phytotherapy and phytopharmacology, 16(6-7), 555–559. https://doi.org/10.1016/j.phymed.2008.10.007;https://doi.org/10.1016/j.phymed.2008.10.007;.;;;;;;;;;;;;;;
Aniba canelilla;Aniba canelilla;Kreutz, Tainá. Óleo essencial de casca-preciosa (Aniba canelilla (H. B. K. ) Mez) : validação de metodologia bioanalítica e estudo de permeação cutânea in vitro. 2017. 122 f. Dissertação (Mestrado) - Curso de Faculdade de Farmácia, Programa de Pós-Graduação em Ciências Farmacêuticas, Universidade Federal do Rio Grande do Sul, Porto Alegre, 2017. Available in: https://lume.ufrgs.br/handle/10183/164429?locale-attribute=pt_BR. Acessed: 24 Mar 2025.;https://lume.ufrgs.br/handle/10183/164429?locale-attribute=pt_BR;.;;;;;;;;;;;;;;
Annona ambotay;Annona ambotay;Takahashi, J. A., Pereira, C. R., Pimenta, L. P. S., Boaventura, M. A. D., & Silva, L. G. F. E. (2006). Antibacterial activity of eight Brazilian annonaceae plants. Natural Product Research, 20(1), 21–26. https://doi.org/10.1080/14786410412331280087;https://doi.org/10.1080/14786410412331280087;.;;;;;;;;;;;;;;
Annona ambotay;Annona ambotay;Yanomami, M. I., Yanomami, E., Albert, B., Milliken, W., & Coelho, V. (2015). Hwërɨmamotima thë pë ã oni: Manual dos remédios tradicionais Yanomami. Boa Vista, Roraima, Brasil: Hutukara Associação Yanomami. ISBN: 978-8582260258.;https://acervo.socioambiental.org/index.php/acervo/publicacoes-isa/manual-dos-remedios-tradicionais-yanomami;.;;;;;;;;;;;;;;
Aspidosperma desmanthum;Aspidosperma desmanthum;Henrique, M. C., Nunomura, S. M., & Pohlit, A. M.. (2010). Alcaloides indólicos de cascas de Aspidosperma vargasii e A. desmanthum. Química Nova, 33(2), 284–287. https://doi.org/10.1590/S0100-40422010000200010;https://doi.org/10.1590/S0100-40422010000200010;.;;;;;;;;;;;;;;
Aspidosperma excelsum;Aspidosperma excelsum;Milliken, W. (1997). Traditional anti-malarial medicine in Roraima, Brazil. Econ Bot 51, 212–237. https://doi.org/10.1007/BF02862091;https://doi.org/10.1007/BF02862091;.;;;;;;;;;;;;;;
Aspidosperma excelsum;Aspidosperma excelsum;Oliveira, F. Q., Junqueira, R. G., Stehmann, J. R., & Brandão, M. G. L. (2003). Potencial das plantas medicinais como fonte de novos antimaláricos: Espécies indicadas na bibliografia etnomédica brasileira. Revista Brasileira de Plantas Medicinais, 5(1), 23;https://www1.ibb.unesp.br/Home/Departamentos/Botanica/RBPM-RevistaBrasileiradePlantasMedicinais/artigo4_v5_n2.pdf;https://www.sbpmed.org.br/admin/files/papers/file_0L5RuTOlHFr0.pdf;.;;;;;;;;;;;;;
Aspidosperma excelsum;Aspidosperma excelsum;Trindade, R. C. dos S., Kikuchi, T. Y. S., Silva, R. J. F., Vale, V. V., Oliveira, A. B. de, Dolabela, M. F., & Coelho-Ferreira, M. R. (2017). Estudo farmacobotânico das folhas de Aspidosperma excelsum Benth. (Apocináceas). Revista Fitos, 10(3), 238-253. https://doi.org/10.5935/2446-4775.20160019;https://rc.cplp.org/Record/oasisbr_lr_9721f5eadf4a29ae4d0d10fc6814986f;.;;;;;;;;;;;;;;
Aspidosperma rigidum;Aspidosperma rigidum;Oliveira, D. R., Krettli, A. U., Aguiar, A. C., Leitão, G. G., Vieira, M. N., Martins, K. S., & Leitão, S. G. (2015). Ethnopharmacological evaluation of medicinal plants used against malaria by quilombola communities from Oriximiná, Brazil. Journal of ethnopharmacology, 173, 424–434. https://doi.org/10.1016/j.jep.2015.07.035;https://doi.org/10.1016/j.jep.2015.07.035;.;;;;;;;;;;;;;;
Astronium lecointei;Astronium lecointei;Mota, G.S., Araujo, E.S., Lorenço, M. et al. Bark of Astronium lecointei Ducke trees from the Amazon: chemical and structural characterization. Eur. J. Wood Prod. 79, 1087–1096 (2021). https://doi.org/10.1007/s00107-021-01670-w;https://doi.org/10.1007/s00107-021-01670-w;.;;;;;;;;;;;;;;
Botryarrhena pendula;Botryarrhena pendula;Cárdenas López, D., Marín Canchala, N. L., & Castaño Arboleda, N. (2012). Plantas alimenticias no convencionales en Amazonia colombiana y anotaciones sobre otras plantas alimenticias. Revista Colombia Amazónica, 5;https://sinchi.org.co/files/publicaciones/revista/pdf/5/4%20plantas%20alimenticias%20no%20convencionales%20en%20amazonia%20colombiana%20y%20anotaciones%20sobre%20otras%20plantas%20alimenticias.pdf;.;;;;;;;;;;;;;;
Brosimum guianense;Brosimum guianense;Cárdenas López, D., Marín Canchala, N. L., & Castaño Arboleda, N. (2012). Plantas alimenticias no convencionales en Amazonia colombiana y anotaciones sobre otras plantas alimenticias. Revista Colombia Amazónica, 5;https://sinchi.org.co/files/publicaciones/revista/pdf/5/4%20plantas%20alimenticias%20no%20convencionales%20en%20amazonia%20colombiana%20y%20anotaciones%20sobre%20otras%20plantas%20alimenticias.pdf;.;;;;;;;;;;;;;;
Buchenavia grandis;Buchenavia grandis;Van Andel, T. (2000). Non-timber forest products of the North-West District of Guyana. Part II: A field guide (Vol. 2). Tropenbos International. ISBN: 90-393-2536-7. Disponível em (https://www.tropenbos.org/resources/publications/non-timber+forest+products+of+the+north-west+district+of+guyana+part+ii+a+field+guide);https://www.tropenbos.org/resources/publications/non-timber+forest+products+of+the+north-west+district+of+guyana+part+ii+a+field+guide;.;;;;;;;;;;;;;;
